INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../../104TemplatizedDecimationFIR/Tester.cpp in debug mode
   Compiling ../../../../../104TemplatizedDecimationFIR/fir_filter_decimate.cpp in debug mode
   Generating csim.exe
>> Start test!
>> 0 0 0.0234375
>> 1 0.1875 0.09375
>> 2 0.3671875 0.208984375
>> 3 0.5390625 0.36328125
>> 4 0.6875 0.52734375
>> 5 0.8125 0.671875
>> 6 0.8984375 0.791015625
>> 7 0.9609375 0.87890625
>> 8 0.9765625 0.93359375
>> 9 0.9609375 0.953125
>> 10 0.8984375 0.93359375
>> 11 0.8125 0.880859375
>> 12 0.6875 0.79296875
>> 13 0.5390625 0.673828125
>> 14 0.375 0.529296875
>> 15 0.1875 0.36328125
>> 16 0 0.18359375
>> 17 -0.1953125 -0.00390625
>> 18 -0.375 -0.189453125
>> 19 -0.546875 -0.369140625
>> 20 -0.6953125 -0.533203125
>> 21 -0.8203125 -0.677734375
>> 22 -0.90625 -0.796875
>> 23 -0.9609375 -0.884765625
>> 24 -0.984375 -0.939453125
>> 25 -0.96875 -0.958984375
>> 26 -0.9140625 -0.94140625
>> 27 -0.8203125 -0.888671875
>> 28 -0.6953125 -0.80078125
>> 29 -0.546875 -0.681640625
>> 30 -0.3828125 -0.537109375
>> 31 -0.1953125 -0.37109375
>> 32 -0.0078125 -0.193359375
>> 33 0.1875 -0.005859375
>> 34 0.3671875 0.1796875
>> 35 0.5390625 0.359375
>> 36 0.6875 0.525390625
>> 37 0.8125 0.669921875
>> 38 0.8984375 0.7890625
>> 39 0.953125 0.876953125
>> 40 0.9765625 0.931640625
>> 41 0.9609375 0.951171875
>> 42 0.90625 0.93359375
>> 43 0.8125 0.880859375
>> 44 0.6953125 0.794921875
>> 45 0.546875 0.67578125
>> 46 0.375 0.53125
>> 47 0.1953125 0.365234375
>> 48 0 0.185546875
>> 49 -0.1875 0
>> 50 -0.375 -0.185546875
>> 51 -0.546875 -0.365234375
>> 52 -0.6953125 -0.53125
>> 53 -0.8125 -0.677734375
>> 54 -0.90625 -0.796875
>> 55 -0.9609375 -0.884765625
>> 56 -0.984375 -0.939453125
>> 57 -0.96875 -0.958984375
>> 58 -0.9140625 -0.94140625
>> 59 -0.8203125 -0.888671875
>> 60 -0.703125 -0.802734375
>> 61 -0.5546875 -0.68359375
>> 62 -0.3828125 -0.541015625
>> 63 -0.203125 -0.376953125
>> 64 -0.0078125 -0.197265625
>> 65 0.1796875 -0.01171875
>> 66 0.3671875 0.17578125
>> 67 0.53125 0.35546875
>> 68 0.6875 0.521484375
>> 69 0.8046875 0.66796875
>> 70 0.8984375 0.787109375
>> 71 0.953125 0.876953125
>> 72 0.9765625 0.931640625
>> 73 0.9609375 0.951171875
>> 74 0.90625 0.935546875
>> 75 0.8125 0.8828125
>> 76 0.6953125 0.796875
>> 77 0.546875 0.677734375
