INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../../ManCode/Tester.cpp in debug mode
   Compiling ../../../../../ManCode/manual_decimate.cpp in debug mode
   Generating csim.exe
>> Start test!
>> 0 0 0.0234375
>> 1 0 0.140625
>> 2 0.09375 0.32421875
>> 3 0.09375 0.49609375
>> 4 0.1875 0.6484375
>> 5 0.1875 0.77734375
>> 6 0.28125 0.876953125
>> 7 0.28125 0.94140625
>> 8 0.3671875 0.96875
>> 9 0.3671875 0.9609375
>> 10 0.4609375 0.9140625
>> 11 0.4609375 0.83203125
>> 12 0.5390625 0.71875
>> 13 0.5390625 0.576171875
>> 14 0.6171875 0.4140625
>> 15 0.6171875 0.234375
>> 16 0.6875 0.044921875
>> 17 0.6875 -0.146484375
>> 18 0.75 -0.330078125
>> 19 0.75 -0.501953125
>> 20 0.8125 -0.65625
>> 21 0.8125 -0.78515625
>> 22 0.859375 -0.8828125
>> 23 0.859375 -0.9453125
>> 24 0.8984375 -0.974609375
>> 25 0.8984375 -0.96875
>> 26 0.9375 -0.923828125
>> 27 0.9375 -0.841796875
>> 28 0.9609375 -0.7265625
>> 29 0.9609375 -0.583984375
>> 30 0.96875 -0.421875
>> 31 0.96875 -0.2421875
>> 32 0.9765625 -0.0546875
>> 33 0.9765625 0.13671875
>> 34 0.96875 0.322265625
>> 35 0.96875 0.494140625
>> 36 0.9609375 0.6484375
>> 37 0.9609375 0.77734375
>> 38 0.9375 0.875
>> 39 0.9375 0.9375
>> 40 0.8984375 0.966796875
>> 41 0.8984375 0.9609375
>> 42 0.859375 0.916015625
>> 43 0.859375 0.833984375
>> 44 0.8125 0.72265625
>> 45 0.8125 0.58203125
>> 46 0.7578125 0.416015625
>> 47 0.7578125 0.236328125
>> 48 0.6875 0.048828125
>> 49 0.6875 -0.140625
>> 50 0.6171875 -0.326171875
>> 51 0.6171875 -0.501953125
>> 52 0.5390625 -0.65625
>> 53 0.5390625 -0.783203125
>> 54 0.4609375 -0.880859375
>> 55 0.4609375 -0.9453125
>> 56 0.375 -0.974609375
>> 57 0.375 -0.96875
>> 58 0.28125 -0.923828125
>> 59 0.28125 -0.841796875
>> 60 0.1875 -0.73046875
>> 61 0.1875 -0.58984375
>> 62 0.09375 -0.42578125
>> 63 0.09375 -0.248046875
>> 64 0 -0.05859375
>> 65 0 0.1328125
>> 66 -0.1015625 0.318359375
>> 67 -0.1015625 0.490234375
>> 68 -0.1953125 0.64453125
>> 69 -0.1953125 0.775390625
>> 70 -0.2890625 0.873046875
>> 71 -0.2890625 0.9375
>> 72 -0.375 0.966796875
>> 73 -0.375 0.9609375
>> 74 -0.4609375 0.91796875
>> 75 -0.4609375 0.8359375
>> 76 -0.546875 0.72265625
>> 77 -0.546875 0.58203125
>> 78 -0.625 0.41796875
>> 79 -0.625 0.240234375
>> 80 -0.6953125 0.05078125
>> 81 -0.6953125 -0.140625
>> 82 -0.7578125 -0.326171875
>> 83 -0.7578125 -0.498046875
>> 84 -0.8203125 -0.650390625
>> 85 -0.8203125 -0.78125
>> 86 -0.8671875 -0.880859375
>> 87 -0.8671875 -0.9453125
>> 88 -0.90625 -0.974609375
>> 89 -0.90625 -0.96875
>> 90 -0.9375 -0.92578125
>> 91 -0.9375 -0.84375
>> 92 -0.9609375 -0.73046875
>> 93 -0.9609375 -0.591796875
>> 94 -0.9765625 -0.4296875
>> 95 -0.9765625 -0.25
>> 96 -0.984375 -0.060546875
>> 97 -0.984375 0.130859375
>> 98 -0.9765625 0.31640625
>> 99 -0.9765625 0.48828125
>> 100 -0.96875 0.642578125
>> 101 -0.96875 0.7734375
>> 102 -0.9453125 0.873046875
>> 103 -0.9453125 0.9375
>> 104 -0.9140625 0.966796875
>> 105 -0.9140625 0.9609375
>> 106 -0.8671875 0.91796875
>> 107 -0.8671875 0.837890625
>> 108 -0.8203125 0.724609375
>> 109 -0.8203125 0.583984375
>> 110 -0.765625 0.421875
>> 111 -0.765625 0.2421875
>> 112 -0.6953125 0.0546875
>> 113 -0.6953125 -0.13671875
>> 114 -0.625 -0.322265625
>> 115 -0.625 -0.494140625
>> 116 -0.546875 -0.650390625
>> 117 -0.546875 -0.779296875
>> 118 -0.46875 -0.87890625
>> 119 -0.46875 -0.9453125
>> 120 -0.3828125 -0.974609375
>> 121 -0.3828125 -0.96875
>> 122 -0.2890625 -0.92578125
>> 123 -0.2890625 -0.845703125
>> 124 -0.1953125 -0.732421875
>> 125 -0.1953125 -0.591796875
>> 126 -0.1015625 -0.4296875
>> 127 -0.1015625 -0.251953125
>> 128 -0.0078125 -0.064453125
>> 129 -0.0078125 0.125
>> 130 0.0859375 0.310546875
>> 131 0.0859375 0.486328125
>> 132 0.1875 0.640625
>> 133 0.1875 0.76953125
>> 134 0.28125 0.87109375
>> 135 0.28125 0.9375
>> 136 0.3671875 0.966796875
>> 137 0.3671875 0.9609375
>> 138 0.453125 0.91796875
>> 139 0.453125 0.83984375
>> 140 0.5390625 0.7265625
>> 141 0.5390625 0.5859375
>> 142 0.6171875 0.42578125
>> 143 0.6171875 0.248046875
>> 144 0.6875 0.05859375
>> 145 0.6875 -0.1328125
>> 146 0.75 -0.318359375
>> 147 0.75 -0.494140625
>> 148 0.8125 -0.6484375
>> 149 0.8125 -0.77734375
>> 150 0.859375 -0.87890625
>> 151 0.859375 -0.9453125
>> 152 0.8984375 -0.9765625
>> 153 0.8984375 -0.970703125
>> 154 0.9296875 -0.92578125
>> 155 0.9296875 -0.84765625
>> 156 0.953125 -0.73828125
>> 157 0.953125 -0.59765625
>> 158 0.96875 -0.43359375
>> 159 0.96875 -0.255859375
>> 160 0.9765625 -0.06640625
>> 161 0.9765625 0.125
>> 162 0.96875 0.310546875
>> 163 0.96875 0.482421875
>> 164 0.9609375 0.63671875
>> 165 0.9609375 0.76953125
>> 166 0.9375 0.87109375
>> 167 0.9375 0.9375
>> 168 0.90625 0.96875
>> 169 0.90625 0.962890625
>> 170 0.859375 0.91796875
>> 171 0.859375 0.83984375
>> 172 0.8125 0.73046875
>> 173 0.8125 0.591796875
>> 174 0.7578125 0.4296875
>> 175 0.7578125 0.25
>> 176 0.6953125 0.060546875
>> 177 0.6953125 -0.130859375
>> 178 0.625 -0.31640625
>> 179 0.625 -0.48828125
>> 180 0.546875 -0.64453125
>> 181 0.546875 -0.77734375
>> 182 0.4609375 -0.87890625
>> 183 0.4609375 -0.9453125
>> 184 0.375 -0.9765625
>> 185 0.375 -0.970703125
>> 186 0.28125 -0.92578125
>> 187 0.28125 -0.84765625
>> 188 0.1953125 -0.73828125
